generation_id,prompt_condition,transport_success,valid_rows,invalid_rows,exact_100_valid_rows,fit_valid,fit_reason,adjusted_r2,cv_r2,condition_number,beta_residential_density,beta_functional_mix,beta_short_blocks,beta_aged_buildings,beta_tall_buildings,unique_ratio_residential_density,unique_ratio_functional_mix,unique_ratio_mean_block_area_m2,unique_ratio_aged_buildings,unique_ratio_tall_buildings,unique_ratio_pedestrian_activity
vitality_blueprint_032,Blueprint prompt,1,100,0,1,1,,0.9822195146445926,0.9788770426083696,19.846392555344405,0.8483078493977869,0.3508629420511511,0.2044849508418524,-0.0285171600166312,-0.4503877434070812,0.39,0.27,0.69,0.58,0.46,0.67
vitality_baseline_033,Baseline prompt,1,100,0,1,1,,0.9906745134139516,0.9890552785402852,24.38967776374321,0.6767217099368403,0.0322254864152455,0.0863119910843456,0.2946227757012455,-0.0914744309406104,0.26,0.46,0.34,0.31,0.29,0.65
vitality_blueprint_033,Blueprint prompt,1,100,0,1,1,,0.967678819888916,0.964803930922108,15.73270422226683,0.67204960328922,0.1516485458563253,-0.1098328232195444,-0.5769976258204784,-0.3182446468745727,0.38,0.25,0.58,0.45,0.36,0.39
vitality_baseline_034,Baseline prompt,1,100,0,1,1,,0.9719690143097603,0.967352388080523,14.617896414156286,0.3769024996015352,0.2599512016163337,0.3446819180343691,-0.2608715052835173,-0.2497613920364806,0.32,0.23,0.36,0.15,0.24,0.65
vitality_blueprint_034,Blueprint prompt,1,100,0,1,1,,0.9922847892299352,0.9905020130576856,22.74608282389252,0.7533425318392963,0.1651555536072308,0.0347980493023464,0.2047224434538042,-0.167858329141485,0.37,0.27,0.77,0.57,0.49,0.82
vitality_baseline_035,Baseline prompt,1,100,0,1,1,,0.9768533339442084,0.9685727653305388,17.450926583055352,0.93404755246672,0.0698516462157487,-0.0903521503294941,0.2601469868008808,-0.1877105627868416,0.4,0.44,0.66,0.33,0.21,0.71
vitality_blueprint_035,Blueprint prompt,1,100,0,1,1,,0.9808051802544522,0.978146644205494,16.191768008357677,0.729568130649286,-0.0047394561984532,0.0224231287244696,-0.2074956034277439,0.0443867312263288,0.6,0.22,0.57,0.53,0.39,0.6
vitality_baseline_036,Baseline prompt,1,100,0,1,1,,0.9693746588085392,0.9653065128499504,13.277156874816502,0.509863080152066,0.0778648045880294,0.2206085519909598,-0.0679496099463414,0.1319083627330826,0.17,0.08,0.52,0.09,0.18,0.52
vitality_blueprint_036,Blueprint prompt,1,100,0,1,1,,0.9800511008180036,0.9794995181638414,15.589775369251418,0.5736115779805335,0.2369151581608381,0.3487267636567064,-0.0122410317892329,-0.1792730608541749,0.82,0.25,0.64,0.09,0.09,0.86
vitality_baseline_037,Baseline prompt,1,100,0,1,1,,0.972424679151654,0.968469200152915,16.570920476193024,0.2691118211474548,0.0543861288075899,0.4366818584632507,-0.0510929500224453,0.1889606885647827,0.23,0.13,0.35,0.13,0.1,0.42
